;meta[language=en]
; id      |key(hex)|key(str)|text
2112698000|        |        |Kaer Morhen
2112698001|        |        |Kaer Morhen is an inaccessible mountain stronghold which has been the headquarters of the Witcher’s guild for centuries. Its name derives from its original eleven appellation – Caer a’Muirehen, meaning Old Sea Fortress. The castle’s times of glory have passed, its battlements and moat have deteriorated, a cold wind blows through its spacious halls. Only a handful of witchers live here now, but in past times droves of young boys underwent gruesome training along the infamous “Gauntlet” near Kaer Morhen.
2112698002|        |        |<br>Years ago, a horde of fanatics, their hatred incited by various publications defamatory of witchers, laid siege to Kaer Morhen. The mob would not have captured the fortress nor later turned it to a ruin without the help of mages. Practically all those who were in the Old Sea Fortress during the assault perished. From among those witchers who called Kaer Morhen home, only a few survived the massacre, merely because they were out on their paths at the time. The bones of the dead remain at the bottom of the moat surrounding the stronghold, left there as a reminder of the massacre that was born from hatred directed against changelings.
2112698003|        |        |
2112698004|        |        |
2112698005|        |        |The Circle of Elements
2112698006|        |        |
2112698007|        |        |
2112698008|        |        |
2112698009|        |        |
2112698010|        |        |The Bastion
2112698011|        |        |
2112698012|        |        |
2112698013|        |        |
2112698014|        |        |
2112698015|        |        |Iron Mine
2112698016|        |        |
2112698017|        |        |
2112698018|        |        |
2112698019|        |        |
2112698020|        |        |Lakeside Hut
2112698021|        |        |
2112698022|        |        |
2112698023|        |        |
2112698024|        |        |
2112698025|        |        |Old Speartip's Cave
2112698026|        |        |
2112698027|        |        |
2112698028|        |        |
2112698029|        |        |
2112698030|        |        |The Watchtower
2112698031|        |        |
2112698032|        |        |
2112698033|        |        |
2112698034|        |        |
2112698035|        |        |The Gwenllech
2112698036|        |        |
2112698037|        |        |
2112698038|        |        |
2112698039|        |        |
2112698040|        |        |Vizima
2112698041|        |        |Lying where important trade routes converge, Temeria’s capital sits picturesquely on the shore of lake Vizima in the valley of the Ismena River, a tributary of the Pontar. The city is divided into four teeming quarters, which are home to thousands and host travellers from all corners of the world. The Royal Palace and court are both found here, and the city boasts many markets, temples, forges, shops, banks, workshops, inns, and brothels. Since our story does not concern Vizima directly, I will end my description here and urge those interested to consult other sources.
2112698042|        |        |
2112698043|        |        |
2112698044|        |        |
2112698045|        |        |White Orchard
2112698046|        |        |
2112698047|        |        |
2112698048|        |        |
2112698049|        |        |
2112698050|        |        |Nilfgaardian Garrison
2112698051|        |        |
2112698052|        |        |
2112698053|        |        |
2112698054|        |        |
2112698055|        |        |The Ruins of Fort Amavet
2112698056|        |        |
2112698057|        |        |
2112698058|        |        |
2112698059|        |        |
2112698060|        |        |Abandoned Village
2112698061|        |        |
2112698062|        |        |
2112698063|        |        |
2112698064|        |        |
2112698065|        |        |Sawmill
2112698066|        |        |
2112698067|        |        |
2112698068|        |        |
2112698069|        |        |
2112698070|        |        |The Inn at White Orchard
2112698071|        |        |
2112698072|        |        |
2112698073|        |        |
2112698074|        |        |
2112698075|        |        |Crookback Bog
2112698076|        |        |
2112698077|        |        |
2112698078|        |        |
2112698079|        |        |
2112698080|        |        |Crow's Perch
2112698081|        |        |
2112698082|        |        |
2112698083|        |        |
2112698084|        |        |
2112698085|        |        |Ancient Oak
2112698086|        |        |
2112698087|        |        |
2112698088|        |        |
2112698089|        |        |
2112698090|        |        |Bald Mountain
2112698091|        |        |
2112698092|        |        |
2112698093|        |        |
2112698094|        |        |
2112698095|        |        |Fyke Isle
2112698096|        |        |
2112698097|        |        |
2112698098|        |        |
2112698099|        |        |
2112698100|        |        |Coast of Wrecks
2112698101|        |        |
2112698102|        |        |
2112698103|        |        |
2112698104|        |        |
2112698105|        |        |Hanged Man's Tree
2112698106|        |        |
2112698107|        |        |
2112698108|        |        |
2112698109|        |        |
2112698110|        |        |Nilfgaardian Army Group 'Center' Camp
2112698111|        |        |
2112698112|        |        |
2112698113|        |        |
2112698114|        |        |
2112698115|        |        |Heatherton 
2112698116|        |        |
2112698117|        |        |
2112698118|        |        |
2112698119|        |        |
2112698120|        |        |Devil's Pit
2112698121|        |        |
2112698122|        |        |
2112698123|        |        |
2112698124|        |        |
2112698125|        |        |Reardon Manor
2112698126|        |        |
2112698127|        |        |
2112698128|        |        |
2112698129|        |        |
2112698130|        |        |White Eagle Fort 
2112698131|        |        |
2112698132|        |        |
2112698133|        |        |
2112698134|        |        |
2112698135|        |        |Dragonslayer's Grotto
2112698136|        |        |
2112698137|        |        |
2112698138|        |        |
2112698139|        |        |
2112698140|        |        |Oxenfurt
2112698141|        |        |
2112698142|        |        |
2112698143|        |        |
2112698144|        |        |
2112698145|        |        |The Alchemy Inn
2112698146|        |        |
2112698147|        |        |
2112698148|        |        |
2112698149|        |        |
2112698150|        |        |Deireadh prison
2112698151|        |        |
2112698152|        |        |
2112698153|        |        |
2112698154|        |        |
